" "	"Akt"	"Alk1"	"Alk5"	"ATF2"	"ATF4"	"B-catenin"	"BMP"	"CCND1"	"Col-II"	"Col-X"	"d-EF1"	"Destruction complex"	"DKK1"	"Dlx5"	"Dsh"	"Elk1"	"ERK1/2"	"FGF"	"Fgfr1"	"Fgfr3"	"FOXO"	"Frizzled-LRP5/6"	"FRZB"	"Gli2"	"Grem1"	"GSK3beta"	"HDAC4"	"Hif-2a"	"IGF-IR"	"IGFI"	"Ihh"	"IkBa"	"Infl. cytokines"	"JNK"	"Lef/tcf"	"Mef2C"	"MMP13"	"Msx2"	"NFkB"	"Nkx3.2"	"p38"	"PI3K"	"PKA"	"PP2A"	"PPR"	"Proteoglycans"	"PTHrP"	"R-Smad"	"R_inflam"	"Ras"	"Runx2"	"Smad Complex"	"Smad3"	"Smad7"	"SOCS"	"Sox9"	"Stat1"	"TAK1"	"TGF-beta"	"Wnt"
"Runx2"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Dlx5 induces Runx2 expression by direct binding to its promoter BMP-2 induces Runx2 expression via Dlx5 but Runx2-induced expression by TGFB1 does not pass by Dlx5"	"[0] "	"[1] In articular cartilage, FGF1 activates MAPK/ERK1/2 as well as PKC pathways and they coordinately activates Ets1 transcription factor (Ets1 and Elk1 transcription factors downstream of ERK activation are represented by the same node in the model).In this way, Ets1 mediate FGF1-induced upregulation of Runx2 and catabolic proteins such as MMP13 and ADAMTS5 (Aggrecanase). In the model the end node 'MMP13' can as well represent Aggrecanase expression since they would be upregulated in similar circumstances"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Ihh signalling promotes Runx2 expression during chondrocgenisis. Gli1 was shown to mediate this effect but Gli2 is the generic transcription factor node downtream of Ihh pathway in the model."	"[0] "	"[0] "	"[0] "	"[1] Hif-2a upregulates Runx2 promoter activity"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] the Wnt-mediated induction of Runx2 expression passes by binding of TCF/Lef on the Runx2 promoter.(At least in chicken chodnrocytes)"	"[1] MEF2C directly upreglate Runx2 expression level and thereby control chondrocyte hypertrophy"	"[0] "	"[-1] "Dlx5 specifically transactivates the Runx2 P1 promoter, and its action on the P1 promoter is antagonized by Msx2.""	"[0] "	"[-1] BMP signalling is required for Nkx3.2 to serve as a transcriptional repressor of chondrogenisis. (NB: stong reference in somitic chondrogenisis, but it is yet to prove in join cartilage maturation, although we can assume that if Nkx3.2 protein and Smad (downstream of BMP) interact in this cell type, they are likely to interact also in join chondrocytes from a docking point of view) Nkx3/Bapx1 is a transcriptional repressor selectively expressed by proliferative chondrocytes in growth cartilage. Nkx3/Bapx1 inhibits Runx2 expression Nkx3.2 represses Runx2 expression as part of a tight positive regulatory system that includes Sox9"	"[0] "	"[0] "	"[-1] PthrP inhibits Runx2 expression in chondrocytes via PKA/CREB signalling pathway. CREB is the downstream nulcear effector of PKA but it is directly represented by PKA itself in the model"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[1] See Nkx3.2"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Smad Complex"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Smad3"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Smad7"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] NfKb induces Smad7 expression, leading to inhibition of TGFB pathway In OA chondrocytes, IL-1 upregulates SMAD7 expression (an intracellular TGFβ signalling inhibitor) via NF-κB activation"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "Induction of Smad6 and Smad7 expression by BMP and TGF-β represents an auto-inhibitory feedback mechanism for ligand-induced signalling" SmadComplex is the canonical downstream effector of BMP signalling "	"[1] "Induction of Smad6 and Smad7 expression by BMP and TGF-β represents an auto-inhibitory feedback mechanism for ligand-induced signalling" Smad3 is the canonical downstream effector of TGFB signalling "	"[0] "	"[0] "	"[0] "	"[1] STAT proteins induces Smad7 expression, leading to inhibition of TGF-β signalling"	"[0] "	"[0] "	"[0] "
"SOCS"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] FGF2 siganlling in chondrocytes induces expression of CIS, SOCS1 and SOC3 inhibitors of cytokine receptors, which is likely mediated by the FGFR3 related pathway"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Insulin-like growth factors related pathway may lead to the induction of SOCS, which inhibits the JAK/STAT axis in return; as a feedback inhibition."	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Sox9"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Sox9 is a target of NfkB as a binding site of NfkB was found in Sox9 promotor region. Two different sites NFkB could both stimulate and suppress Sox9 activity depending on other unknown factors Reference for upregulation Reference for repression"	"[1] Nkx3.2 and Sox9 could induce each other expression, thereby forming a positive regulatory loop. It would somehow depends on BMP presence.(Reference 'Zeng L. is not really context specific since relative to chondrogenisis in the somites)"	"[1] p38 is the transcription factor at the origin of BMP2-induced Sox9 expression. BMP-2/p38 rather than BMP-2/Smad pathway is responsible for modulating the function of Sox9 during chondrogenesis"	"[0] "	"[1] PKA is a protein kinase and CREB is a prototypical PKA downstream transcription factor transducing PKA signalling in the nucleus.  Its nuclear action is directly operated by PKA in the model. CREB (activated by PKA) binds to Sox9 promoter and upregulates its expression"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Sox9 regulates its own activity in chondrocyte via a positive feedback loop Sox9 is involved in an autoregultaory loop wth Nkx3.2. Sox9 can maintain its own expression"	"[0] "	"[0] "	"[0] "	"[0] "
"Stat1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"TAK1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"TGF-beta"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] FGF1 (2) treatment in chondrocyte was shown to increase quantity of TGFbeta protein (directly related to expression level in this model). Ets1 is the transcription factor acting as the effector downstream of FGF/ERK1/2 pathway"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] TGFB signalling would be regulated by Ihh/Gli2  signalling (NB: reference discutable)"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Wnt"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Hh signalling would promote hypertrophy in a n PthrP-independant pathway. This effect would pass by upregulation of Wnt ligands expression (including Wnt3a) and thus activation of Wnt/b-catenin pathway and downstream targets. "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Msx2 would upregulate wnt promoter"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
